Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2007/05/16,QQQ,QQQQ,S,CBOE,173761
2007/05/17,QQQ,QQQQ,S,CBOE,138376
2007/05/18,QQQ,QQQQ,S,CBOE,179353
2007/05/21,QQQ,QQQQ,S,CBOE,155367
2007/05/22,QQQ,QQQQ,S,CBOE,114552
2007/05/23,QQQ,QQQQ,S,CBOE,86224
2007/05/24,QQQ,QQQQ,S,CBOE,189490
2007/05/25,QQQ,QQQQ,S,CBOE,101464
2007/05/29,QQQ,QQQQ,S,CBOE,96731
2007/05/30,QQQ,QQQQ,S,CBOE,117341
2007/05/31,QQQ,QQQQ,S,CBOE,174295
2007/06/01,QQQ,QQQQ,S,CBOE,91356
2007/06/04,QQQ,QQQQ,S,CBOE,57914
2007/06/05,QQQ,QQQQ,S,CBOE,80335
2007/06/06,QQQ,QQQQ,S,CBOE,84214
2007/06/07,QQQ,QQQQ,S,CBOE,223200
2007/06/08,QQQ,QQQQ,S,CBOE,115544
2007/06/11,QQQ,QQQQ,S,CBOE,77273
2007/06/12,QQQ,QQQQ,S,CBOE,225212
2007/06/13,QQQ,QQQQ,S,CBOE,95219
2007/06/14,QQQ,QQQQ,S,CBOE,179534
2007/06/15,QQQ,QQQQ,S,CBOE,382505
2007/06/18,QQQ,QQQQ,S,CBOE,126477
2007/06/19,QQQ,QQQQ,S,CBOE,43508
2007/06/20,QQQ,QQQQ,S,CBOE,64680
2007/06/21,QQQ,QQQQ,S,CBOE,81503
2007/06/22,QQQ,QQQQ,S,CBOE,85050
2007/06/25,QQQ,QQQQ,S,CBOE,99690
2007/06/26,QQQ,QQQQ,S,CBOE,56977
2007/06/27,QQQ,QQQQ,S,CBOE,99150
2007/06/28,QQQ,QQQQ,S,CBOE,34639
2007/06/29,QQQ,QQQQ,S,CBOE,89707
2007/07/02,QQQ,QQQQ,S,CBOE,41767
2007/07/03,QQQ,QQQQ,S,CBOE,37009
2007/07/05,QQQ,QQQQ,S,CBOE,77936
2007/07/06,QQQ,QQQQ,S,CBOE,37038
2007/07/09,QQQ,QQQQ,S,CBOE,70484
2007/07/10,QQQ,QQQQ,S,CBOE,213650
2007/07/11,QQQ,QQQQ,S,CBOE,72889
2007/07/12,QQQ,QQQQ,S,CBOE,97283
2007/07/13,QQQ,QQQQ,S,CBOE,75367
2007/07/16,QQQ,QQQQ,S,CBOE,105939
2007/07/17,QQQ,QQQQ,S,CBOE,169370
2007/07/18,QQQ,QQQQ,S,CBOE,198182
2007/07/19,QQQ,QQQQ,S,CBOE,79476
2007/07/20,QQQ,QQQQ,S,CBOE,626107
2007/07/23,QQQ,QQQQ,S,CBOE,91384
2007/07/24,QQQ,QQQQ,S,CBOE,290441
2007/07/25,QQQ,QQQQ,S,CBOE,147722
2007/07/26,QQQ,QQQQ,S,CBOE,283509
2007/07/27,QQQ,QQQQ,S,CBOE,172015
2007/07/30,QQQ,QQQQ,S,CBOE,171307
2007/07/31,QQQ,QQQQ,S,CBOE,232828
2007/08/01,QQQ,QQQQ,S,CBOE,276383
2007/08/02,QQQ,QQQQ,S,CBOE,67523
2007/08/03,QQQ,QQQQ,S,CBOE,265389
2007/08/06,QQQ,QQQQ,S,CBOE,242986
2007/08/07,QQQ,QQQQ,S,CBOE,163815
2007/08/08,QQQ,QQQQ,S,CBOE,284864
2007/08/09,QQQ,QQQQ,S,CBOE,169542
2007/08/10,QQQ,QQQQ,S,CBOE,268801
2007/08/13,QQQ,QQQQ,S,CBOE,264118
2007/08/14,QQQ,QQQQ,S,CBOE,238215
2007/08/15,QQQ,QQQQ,S,CBOE,245709
2007/08/16,QQQ,QQQQ,S,CBOE,486358
2007/08/17,QQQ,QQQQ,S,CBOE,472548
2007/08/20,QQQ,QQQQ,S,CBOE,130448
2007/08/21,QQQ,QQQQ,S,CBOE,86045
2007/08/22,QQQ,QQQQ,S,CBOE,100033
2007/08/23,QQQ,QQQQ,S,CBOE,88817
2007/08/24,QQQ,QQQQ,S,CBOE,119195
2007/08/27,QQQ,QQQQ,S,CBOE,52004
2007/08/28,QQQ,QQQQ,S,CBOE,82619
2007/08/29,QQQ,QQQQ,S,CBOE,108412
2007/08/30,QQQ,QQQQ,S,CBOE,123234
2007/08/31,QQQ,QQQQ,S,CBOE,88412
2007/09/04,QQQ,QQQQ,S,CBOE,163198
2007/09/05,QQQ,QQQQ,S,CBOE,164124
2007/09/06,QQQ,QQQQ,S,CBOE,107428
2007/09/07,QQQ,QQQQ,S,CBOE,207166
2007/09/10,QQQ,QQQQ,S,CBOE,202321
2007/09/11,QQQ,QQQQ,S,CBOE,63356
2007/09/12,QQQ,QQQQ,S,CBOE,70068
2007/09/13,QQQ,QQQQ,S,CBOE,114106
2007/09/14,QQQ,QQQQ,S,CBOE,211716
2007/09/17,QQQ,QQQQ,S,CBOE,87218
2007/09/18,QQQ,QQQQ,S,CBOE,221380
2007/09/19,QQQ,QQQQ,S,CBOE,139502
2007/09/20,QQQ,QQQQ,S,CBOE,264890
2007/09/21,QQQ,QQQQ,S,CBOE,94166
2007/09/24,QQQ,QQQQ,S,CBOE,61373
2007/09/25,QQQ,QQQQ,S,CBOE,90299
2007/09/26,QQQ,QQQQ,S,CBOE,131696
2007/09/27,QQQ,QQQQ,S,CBOE,71821
2007/09/28,QQQ,QQQQ,S,CBOE,51710
2007/10/01,QQQ,QQQQ,S,CBOE,99332
2007/10/02,QQQ,QQQQ,S,CBOE,47138
2007/10/03,QQQ,QQQQ,S,CBOE,58765
2007/10/04,QQQ,QQQQ,S,CBOE,40333
2007/10/05,QQQ,QQQQ,S,CBOE,58840
2007/10/08,QQQ,QQQQ,S,CBOE,84227
2007/10/09,QQQ,QQQQ,S,CBOE,86532
2007/10/10,QQQ,QQQQ,S,CBOE,63106
2007/10/11,QQQ,QQQQ,S,CBOE,116351
2007/10/12,QQQ,QQQQ,S,CBOE,107597
2007/10/15,QQQ,QQQQ,S,CBOE,137796
2007/10/16,QQQ,QQQQ,S,CBOE,95999
2007/10/17,QQQ,QQQQ,S,CBOE,210099
2007/10/18,QQQ,QQQQ,S,CBOE,183514
2007/10/19,QQQ,QQQQ,S,CBOE,263612
2007/10/22,QQQ,QQQQ,S,CBOE,142932
2007/10/23,QQQ,QQQQ,S,CBOE,243244
2007/10/24,QQQ,QQQQ,S,CBOE,419227
2007/10/25,QQQ,QQQQ,S,CBOE,186968
2007/10/26,QQQ,QQQQ,S,CBOE,204733
2007/10/29,QQQ,QQQQ,S,CBOE,123300
2007/10/30,QQQ,QQQQ,S,CBOE,140943
2007/10/31,QQQ,QQQQ,S,CBOE,190767
2007/11/01,QQQ,QQQQ,S,CBOE,124619
2007/11/02,QQQ,QQQQ,S,CBOE,186705
2007/11/05,QQQ,QQQQ,S,CBOE,310768
2007/11/06,QQQ,QQQQ,S,CBOE,157528
2007/11/07,QQQ,QQQQ,S,CBOE,284213
2007/11/08,QQQ,QQQQ,S,CBOE,582183
2007/11/09,QQQ,QQQQ,S,CBOE,445478
2007/11/12,QQQ,QQQQ,S,CBOE,498833
2007/11/13,QQQ,QQQQ,S,CBOE,397097
2007/11/14,QQQ,QQQQ,S,CBOE,241853
2007/11/15,QQQ,QQQQ,S,CBOE,264004
2007/11/16,QQQ,QQQQ,S,CBOE,312652
2007/11/19,QQQ,QQQQ,S,CBOE,115662
2007/11/20,QQQ,QQQQ,S,CBOE,195814
2007/11/21,QQQ,QQQQ,S,CBOE,133064
2007/11/23,QQQ,QQQQ,S,CBOE,39954
2007/11/26,QQQ,QQQQ,S,CBOE,195954
2007/11/27,QQQ,QQQQ,S,CBOE,159845
2007/11/28,QQQ,QQQQ,S,CBOE,142768
2007/11/29,QQQ,QQQQ,S,CBOE,94736
2007/11/30,QQQ,QQQQ,S,CBOE,156737
2007/12/03,QQQ,QQQQ,S,CBOE,67029
2007/12/04,QQQ,QQQQ,S,CBOE,88999
2007/12/05,QQQ,QQQQ,S,CBOE,95111
2007/12/06,QQQ,QQQQ,S,CBOE,74434
2007/12/07,QQQ,QQQQ,S,CBOE,75523
2007/12/10,QQQ,QQQQ,S,CBOE,123745
2007/12/11,QQQ,QQQQ,S,CBOE,240921
2007/12/12,QQQ,QQQQ,S,CBOE,158664
2007/12/13,QQQ,QQQQ,S,CBOE,112055
2007/12/14,QQQ,QQQQ,S,CBOE,120899
2007/12/17,QQQ,QQQQ,S,CBOE,251291
2007/12/18,QQQ,QQQQ,S,CBOE,210579
2007/12/19,QQQ,QQQQ,S,CBOE,246291
2007/12/20,QQQ,QQQQ,S,CBOE,200771
2007/12/21,QQQ,QQQQ,S,CBOE,181277
2007/12/24,QQQ,QQQQ,S,CBOE,41094
2007/12/26,QQQ,QQQQ,S,CBOE,149746
2007/12/27,QQQ,QQQQ,S,CBOE,56960
2007/12/28,QQQ,QQQQ,S,CBOE,101456
2007/12/31,QQQ,QQQQ,S,CBOE,62177
2008/01/02,QQQ,QQQQ,S,CBOE,233390
2008/01/03,QQQ,QQQQ,S,CBOE,107913
2008/01/04,QQQ,QQQQ,S,CBOE,348897
2008/01/07,QQQ,QQQQ,S,CBOE,355502
2008/01/08,QQQ,QQQQ,S,CBOE,254608
2008/01/09,QQQ,QQQQ,S,CBOE,425847
2008/01/10,QQQ,QQQQ,S,CBOE,332665
2008/01/11,QQQ,QQQQ,S,CBOE,274450
2008/01/14,QQQ,QQQQ,S,CBOE,229618
2008/01/15,QQQ,QQQQ,S,CBOE,273844
2008/01/16,QQQ,QQQQ,S,CBOE,530947
2008/01/17,QQQ,QQQQ,S,CBOE,452892
2008/01/18,QQQ,QQQQ,S,CBOE,370475
2008/01/22,QQQ,QQQQ,S,CBOE,278414
2008/01/23,QQQ,QQQQ,S,CBOE,809841
2008/01/24,QQQ,QQQQ,S,CBOE,223582
2008/01/25,QQQ,QQQQ,S,CBOE,185733
2008/01/28,QQQ,QQQQ,S,CBOE,197992
2008/01/29,QQQ,QQQQ,S,CBOE,154617
2008/01/30,QQQ,QQQQ,S,CBOE,299141
2008/01/31,QQQ,QQQQ,S,CBOE,225871
2008/02/01,QQQ,QQQQ,S,CBOE,268808
2008/02/04,QQQ,QQQQ,S,CBOE,113006
2008/02/05,QQQ,QQQQ,S,CBOE,211735
2008/02/06,QQQ,QQQQ,S,CBOE,209092
2008/02/07,QQQ,QQQQ,S,CBOE,411248
2008/02/08,QQQ,QQQQ,S,CBOE,302077
2008/02/11,QQQ,QQQQ,S,CBOE,180556
2008/02/12,QQQ,QQQQ,S,CBOE,187853
2008/02/13,QQQ,QQQQ,S,CBOE,228204
2008/02/14,QQQ,QQQQ,S,CBOE,183199
2008/02/15,QQQ,QQQQ,S,CBOE,176581
2008/02/19,QQQ,QQQQ,S,CBOE,211764
2008/02/20,QQQ,QQQQ,S,CBOE,100278
2008/02/21,QQQ,QQQQ,S,CBOE,112433
2008/02/22,QQQ,QQQQ,S,CBOE,152607
2008/02/25,QQQ,QQQQ,S,CBOE,168100
2008/02/26,QQQ,QQQQ,S,CBOE,137879
2008/02/27,QQQ,QQQQ,S,CBOE,91260
2008/02/28,QQQ,QQQQ,S,CBOE,159010
2008/02/29,QQQ,QQQQ,S,CBOE,189432
2008/03/03,QQQ,QQQQ,S,CBOE,187888
2008/03/04,QQQ,QQQQ,S,CBOE,204897
2008/03/05,QQQ,QQQQ,S,CBOE,204282
2008/03/06,QQQ,QQQQ,S,CBOE,102616
2008/03/07,QQQ,QQQQ,S,CBOE,333593
2008/03/10,QQQ,QQQQ,S,CBOE,147991
2008/03/11,QQQ,QQQQ,S,CBOE,199268
2008/03/12,QQQ,QQQQ,S,CBOE,174091
2008/03/13,QQQ,QQQQ,S,CBOE,251966
2008/03/14,QQQ,QQQQ,S,CBOE,261737
2008/03/17,QQQ,QQQQ,S,CBOE,265174
2008/03/18,QQQ,QQQQ,S,CBOE,246111
2008/03/19,QQQ,QQQQ,S,CBOE,331427
2008/03/20,QQQ,QQQQ,S,CBOE,266050
2008/03/24,QQQ,QQQQ,S,CBOE,154315
2008/03/25,QQQ,QQQQ,S,CBOE,97566
2008/03/26,QQQ,QQQQ,S,CBOE,123800
2008/03/27,QQQ,QQQQ,S,CBOE,139190
2008/03/28,QQQ,QQQQ,S,CBOE,71456
2008/03/31,QQQ,QQQQ,S,CBOE,116950
2008/04/01,QQQ,QQQQ,S,CBOE,220976
2008/04/02,QQQ,QQQQ,S,CBOE,186285
2008/04/03,QQQ,QQQQ,S,CBOE,130288
2008/04/04,QQQ,QQQQ,S,CBOE,188552
2008/04/07,QQQ,QQQQ,S,CBOE,120575
2008/04/08,QQQ,QQQQ,S,CBOE,133095
2008/04/09,QQQ,QQQQ,S,CBOE,225009
2008/04/10,QQQ,QQQQ,S,CBOE,127579
2008/04/11,QQQ,QQQQ,S,CBOE,93162
2008/04/14,QQQ,QQQQ,S,CBOE,139840
2008/04/15,QQQ,QQQQ,S,CBOE,142051
2008/04/16,QQQ,QQQQ,S,CBOE,210781
2008/04/17,QQQ,QQQQ,S,CBOE,188312
2008/04/18,QQQ,QQQQ,S,CBOE,242806
2008/04/21,QQQ,QQQQ,S,CBOE,101178
2008/04/22,QQQ,QQQQ,S,CBOE,105560
2008/04/23,QQQ,QQQQ,S,CBOE,135031
2008/04/24,QQQ,QQQQ,S,CBOE,272351
2008/04/25,QQQ,QQQQ,S,CBOE,127884
2008/04/28,QQQ,QQQQ,S,CBOE,72033
2008/04/29,QQQ,QQQQ,S,CBOE,95078
2008/04/30,QQQ,QQQQ,S,CBOE,162465
2008/05/01,QQQ,QQQQ,S,CBOE,177006
2008/05/02,QQQ,QQQQ,S,CBOE,177414
2008/05/05,QQQ,QQQQ,S,CBOE,97076
2008/05/06,QQQ,QQQQ,S,CBOE,157270
2008/05/07,QQQ,QQQQ,S,CBOE,194394
2008/05/08,QQQ,QQQQ,S,CBOE,100942
2008/05/09,QQQ,QQQQ,S,CBOE,132358
2008/05/12,QQQ,QQQQ,S,CBOE,118473
2008/05/13,QQQ,QQQQ,S,CBOE,159534
2008/05/14,QQQ,QQQQ,S,CBOE,234494
2008/05/15,QQQ,QQQQ,S,CBOE,170577
2008/05/16,QQQ,QQQQ,S,CBOE,216295
2008/05/19,QQQ,QQQQ,S,CBOE,134754
2008/05/20,QQQ,QQQQ,S,CBOE,148739
2008/05/21,QQQ,QQQQ,S,CBOE,179838
2008/05/22,QQQ,QQQQ,S,CBOE,170492
2008/05/23,QQQ,QQQQ,S,CBOE,206253
2008/05/27,QQQ,QQQQ,S,CBOE,103503
2008/05/28,QQQ,QQQQ,S,CBOE,97666
2008/05/29,QQQ,QQQQ,S,CBOE,119952
2008/05/30,QQQ,QQQQ,S,CBOE,79548
2008/06/02,QQQ,QQQQ,S,CBOE,173602
2008/06/03,QQQ,QQQQ,S,CBOE,234267
2008/06/04,QQQ,QQQQ,S,CBOE,258801
2008/06/05,QQQ,QQQQ,S,CBOE,201005
2008/06/06,QQQ,QQQQ,S,CBOE,302482
2008/06/09,QQQ,QQQQ,S,CBOE,374353
2008/06/10,QQQ,QQQQ,S,CBOE,200717
2008/06/11,QQQ,QQQQ,S,CBOE,306920
2008/06/12,QQQ,QQQQ,S,CBOE,300827
2008/06/13,QQQ,QQQQ,S,CBOE,238306
2008/06/16,QQQ,QQQQ,S,CBOE,184915
2008/06/17,QQQ,QQQQ,S,CBOE,180376
2008/06/18,QQQ,QQQQ,S,CBOE,271581
2008/06/19,QQQ,QQQQ,S,CBOE,383530
2008/06/20,QQQ,QQQQ,S,CBOE,414798
2008/06/23,QQQ,QQQQ,S,CBOE,136394
2008/06/24,QQQ,QQQQ,S,CBOE,174697
2008/06/25,QQQ,QQQQ,S,CBOE,174892
2008/06/26,QQQ,QQQQ,S,CBOE,288644
2008/06/27,QQQ,QQQQ,S,CBOE,213015
2008/06/30,QQQ,QQQQ,S,CBOE,284149
2008/07/01,QQQ,QQQQ,S,CBOE,339017
2008/07/02,QQQ,QQQQ,S,CBOE,200119
2008/07/03,QQQ,QQQQ,S,CBOE,134859
2008/07/07,QQQ,QQQQ,S,CBOE,260642
2008/07/08,QQQ,QQQQ,S,CBOE,318204
2008/07/09,QQQ,QQQQ,S,CBOE,225042
2008/07/10,QQQ,QQQQ,S,CBOE,207218
2008/07/11,QQQ,QQQQ,S,CBOE,442578
2008/07/14,QQQ,QQQQ,S,CBOE,240515
2008/07/15,QQQ,QQQQ,S,CBOE,418242
2008/07/16,QQQ,QQQQ,S,CBOE,333964
2008/07/17,QQQ,QQQQ,S,CBOE,373152
2008/07/18,QQQ,QQQQ,S,CBOE,371416
2008/07/21,QQQ,QQQQ,S,CBOE,162537
2008/07/22,QQQ,QQQQ,S,CBOE,257222
2008/07/23,QQQ,QQQQ,S,CBOE,292684
2008/07/24,QQQ,QQQQ,S,CBOE,169588
2008/07/25,QQQ,QQQQ,S,CBOE,92058
2008/07/28,QQQ,QQQQ,S,CBOE,150901
2008/07/29,QQQ,QQQQ,S,CBOE,192024
2008/07/30,QQQ,QQQQ,S,CBOE,119880
2008/07/31,QQQ,QQQQ,S,CBOE,182516
2008/08/01,QQQ,QQQQ,S,CBOE,192594
2008/08/04,QQQ,QQQQ,S,CBOE,135737
2008/08/05,QQQ,QQQQ,S,CBOE,139107
2008/08/06,QQQ,QQQQ,S,CBOE,204933
2008/08/07,QQQ,QQQQ,S,CBOE,140081
2008/08/08,QQQ,QQQQ,S,CBOE,191477
2008/08/11,QQQ,QQQQ,S,CBOE,289967
2008/08/12,QQQ,QQQQ,S,CBOE,228154
2008/08/13,QQQ,QQQQ,S,CBOE,251332
2008/08/14,QQQ,QQQQ,S,CBOE,317514
2008/08/15,QQQ,QQQQ,S,CBOE,266285
2008/08/18,QQQ,QQQQ,S,CBOE,139233
2008/08/19,QQQ,QQQQ,S,CBOE,169612
2008/08/20,QQQ,QQQQ,S,CBOE,85384
2008/08/21,QQQ,QQQQ,S,CBOE,115557
2008/08/22,QQQ,QQQQ,S,CBOE,107914
2008/08/25,QQQ,QQQQ,S,CBOE,105313
2008/08/26,QQQ,QQQQ,S,CBOE,88298
2008/08/27,QQQ,QQQQ,S,CBOE,105276
2008/08/28,QQQ,QQQQ,S,CBOE,73352
2008/08/29,QQQ,QQQQ,S,CBOE,169309
2008/09/02,QQQ,QQQQ,S,CBOE,195593
2008/09/03,QQQ,QQQQ,S,CBOE,188709
2008/09/04,QQQ,QQQQ,S,CBOE,354310
2008/09/05,QQQ,QQQQ,S,CBOE,287296
2008/09/08,QQQ,QQQQ,S,CBOE,310811
2008/09/09,QQQ,QQQQ,S,CBOE,229489
2008/09/10,QQQ,QQQQ,S,CBOE,237989
2008/09/11,QQQ,QQQQ,S,CBOE,216831
2008/09/12,QQQ,QQQQ,S,CBOE,145194
2008/09/15,QQQ,QQQQ,S,CBOE,226932
2008/09/16,QQQ,QQQQ,S,CBOE,325412
2008/09/17,QQQ,QQQQ,S,CBOE,475798
2008/09/18,QQQ,QQQQ,S,CBOE,600019
2008/09/19,QQQ,QQQQ,S,CBOE,361704
2008/09/22,QQQ,QQQQ,S,CBOE,241225
2008/09/23,QQQ,QQQQ,S,CBOE,222888
2008/09/24,QQQ,QQQQ,S,CBOE,172944
2008/09/25,QQQ,QQQQ,S,CBOE,259208
2008/09/26,QQQ,QQQQ,S,CBOE,172015
2008/09/29,QQQ,QQQQ,S,CBOE,303992
2008/09/30,QQQ,QQQQ,S,CBOE,430780
2008/10/01,QQQ,QQQQ,S,CBOE,210400
2008/10/02,QQQ,QQQQ,S,CBOE,395132
2008/10/03,QQQ,QQQQ,S,CBOE,362923
2008/10/06,QQQ,QQQQ,S,CBOE,397594
2008/10/07,QQQ,QQQQ,S,CBOE,311670
2008/10/08,QQQ,QQQQ,S,CBOE,247256
2008/10/09,QQQ,QQQQ,S,CBOE,152231
2008/10/10,QQQ,QQQQ,S,CBOE,122013
2008/10/13,QQQ,QQQQ,S,CBOE,128906
2008/10/14,QQQ,QQQQ,S,CBOE,130087
2008/10/15,QQQ,QQQQ,S,CBOE,96712
2008/10/16,QQQ,QQQQ,S,CBOE,82325
2008/10/17,QQQ,QQQQ,S,CBOE,126174
2008/10/20,QQQ,QQQQ,S,CBOE,44434
2008/10/21,QQQ,QQQQ,S,CBOE,73376
2008/10/22,QQQ,QQQQ,S,CBOE,60805
2008/10/23,QQQ,QQQQ,S,CBOE,46054
2008/10/24,QQQ,QQQQ,S,CBOE,42301
2008/10/27,QQQ,QQQQ,S,CBOE,40127
2008/10/28,QQQ,QQQQ,S,CBOE,25629
2008/10/29,QQQ,QQQQ,S,CBOE,58129
2008/10/30,QQQ,QQQQ,S,CBOE,46814
2008/10/31,QQQ,QQQQ,S,CBOE,25837
2008/11/03,QQQ,QQQQ,S,CBOE,33249
2008/11/04,QQQ,QQQQ,S,CBOE,68245
2008/11/05,QQQ,QQQQ,S,CBOE,34848
2008/11/06,QQQ,QQQQ,S,CBOE,41388
2008/11/07,QQQ,QQQQ,S,CBOE,28790
2008/11/10,QQQ,QQQQ,S,CBOE,35102
2008/11/11,QQQ,QQQQ,S,CBOE,14903
2008/11/12,QQQ,QQQQ,S,CBOE,11532
2008/11/13,QQQ,QQQQ,S,CBOE,29078
2008/11/14,QQQ,QQQQ,S,CBOE,39146
2008/11/17,QQQ,QQQQ,S,CBOE,22002
2008/11/18,QQQ,QQQQ,S,CBOE,9682
2008/11/19,QQQ,QQQQ,S,CBOE,21841
2008/11/20,QQQ,QQQQ,S,CBOE,8876
2008/11/21,QQQ,QQQQ,S,CBOE,33530
2008/11/24,QQQ,QQQQ,S,CBOE,7742
2008/11/25,QQQ,QQQQ,S,CBOE,5892
2008/11/26,QQQ,QQQQ,S,CBOE,11202
2008/11/28,QQQ,QQQQ,S,CBOE,8908
2008/12/01,QQQ,QQQQ,S,CBOE,4415
2008/12/02,QQQ,QQQQ,S,CBOE,3276
2008/12/03,QQQ,QQQQ,S,CBOE,6425
2008/12/04,QQQ,QQQQ,S,CBOE,17263
2008/12/05,QQQ,QQQQ,S,CBOE,44719
2008/12/08,QQQ,QQQQ,S,CBOE,11307
2008/12/09,QQQ,QQQQ,S,CBOE,6564
2008/12/10,QQQ,QQQQ,S,CBOE,4527
2008/12/11,QQQ,QQQQ,S,CBOE,7568
2008/12/12,QQQ,QQQQ,S,CBOE,1951
2008/12/15,QQQ,QQQQ,S,CBOE,1990
2008/12/16,QQQ,QQQQ,S,CBOE,1392
2008/12/17,QQQ,QQQQ,S,CBOE,1873
2008/12/18,QQQ,QQQQ,S,CBOE,3715
2008/12/19,QQQ,QQQQ,S,CBOE,1918
